epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,336.611,0.69726,0.51431,1.01558,0.92251,0.98541,0.98328,0.82051,0.58786,0.40728,0.89139,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,346.638,0.68533,0.50445,1.0047,0.93161,0.98422,0.97499,0.81439,0.58111,0.42095,0.89814,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,356.724,0.6838,0.50994,1.01264,0.94033,0.97209,0.97664,0.80489,0.62021,0.42392,0.91107,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,366.805,0.68113,0.5103,1.00576,0.9449,0.97679,0.97396,0.7754,0.67478,0.49252,0.95115,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,376.786,0.68098,0.50226,1.00694,0.95463,0.98253,0.98489,0.83318,0.56253,0.36843,0.89687,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,386.847,0.68498,0.50712,1.01022,0.95381,0.98033,0.98289,0.83063,0.55533,0.35916,0.88402,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,396.977,0.67382,0.5008,1.00749,0.94214,0.98505,0.9795,0.81156,0.58296,0.39625,0.89829,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,407.235,0.6789,0.49264,1.01327,0.95187,0.98463,0.98137,0.80838,0.59586,0.37816,0.8978,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,417.369,0.67933,0.49661,1.00253,0.95674,0.97258,0.98262,0.82702,0.55911,0.36574,0.87405,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,427.366,0.67509,0.49359,1.00717,0.96048,0.9654,0.98099,0.8346,0.55647,0.36047,0.87605,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,437.346,0.65822,0.49301,1.00141,0.95148,0.98459,0.98219,0.82392,0.54337,0.35479,0.87446,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,447.327,0.65671,0.48436,0.99567,0.94368,0.98393,0.97973,0.82812,0.56071,0.41067,0.88558,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,457.463,0.65079,0.47339,0.9918,0.94498,0.97802,0.98016,0.82691,0.56813,0.36763,0.87951,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,467.731,0.65684,0.47684,0.99508,0.94501,0.97309,0.98492,0.83571,0.5528,0.35692,0.88407,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,477.659,0.65451,0.47128,0.99495,0.95247,0.97415,0.98516,0.84004,0.54466,0.35699,0.87268,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,487.613,0.65343,0.47306,0.99119,0.96266,0.95962,0.98415,0.83942,0.54598,0.34779,0.8795,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,497.67,0.64672,0.46496,0.98718,0.94823,0.9778,0.98009,0.83361,0.54537,0.37002,0.87293,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,507.598,0.63885,0.46593,0.98163,0.94645,0.98213,0.97612,0.83874,0.53379,0.37862,0.86796,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
