epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
139,1409.75,0.47198,0.30385,0.90863,0.95891,0.984,0.98678,0.87595,0.47922,0.25555,0.83101,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,1419.91,0.46865,0.29621,0.90574,0.95877,0.98298,0.98671,0.87768,0.47832,0.2545,0.83064,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,1430.43,0.45931,0.25049,0.8867,0.95858,0.98333,0.98679,0.87768,0.47861,0.25417,0.83073,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,1440.45,0.44932,0.24317,0.88128,0.95872,0.98365,0.98702,0.87636,0.47796,0.25425,0.83051,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,1450.32,0.4491,0.23951,0.87811,0.95911,0.98378,0.98724,0.87764,0.47802,0.25538,0.83049,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
144,1460,0.44509,0.23785,0.87521,0.95935,0.98382,0.98726,0.87622,0.47817,0.25588,0.83074,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562
145,1469.67,0.43719,0.23261,0.87382,0.95931,0.98375,0.98786,0.87718,0.47849,0.25535,0.83082,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
146,1479.36,0.44126,0.23464,0.87574,0.95917,0.98362,0.98836,0.87699,0.47909,0.2551,0.83137,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
147,1489.1,0.43007,0.23151,0.86717,0.95936,0.98343,0.98838,0.87681,0.47927,0.25438,0.83139,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
148,1498.8,0.439,0.23199,0.8725,0.95906,0.98354,0.98843,0.87788,0.47882,0.25314,0.83143,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
149,1508.59,0.43125,0.2307,0.87195,0.95873,0.98353,0.9884,0.8777,0.47875,0.25337,0.8315,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
150,1518.36,0.42408,0.22677,0.86783,0.95864,0.98347,0.9884,0.87665,0.47893,0.25312,0.83158,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166
